sku,desc
03-4081BKT,TRAIL XR 15 2025 GLOSS BLACK           T
03-4082SL ,TRAIL XR 15 2025 NICKEL                 
03-4083BK ,TRAIL XR 17 2025 GLOSS BLACK            
03-4083BK ,TRAIL XR 17 2025 GLOSS BLACK            
03-4084SL ,TRAIL XR 17 2025 NICKEL                 
03-4084SLT,TRAIL XR 17 2025 NICKEL                T
03-4085BK ,TRAIL XR 19 2025 GLOSS BLACK            
03-4085BKT,TRAIL XR 19 2025 GLOSS BLACK           T
03-4086SL ,TRAIL XR 19 2025 NICKEL                 
03-4086SLT,TRAIL XR 19 2025 NICKEL                T
03-4088SL ,TRAIL XR 21 2025 NICKEL                 
03-4088SLT,TRAIL XR 21 2025 NICKEL                T
03-4088SLT,TRAIL XR 21 2025 NICKEL                T
03-4090BL ,TRAIL XR S/O 12 2025 POWDER BLUE        
03-4090BL ,TRAIL XR S/O 12 2025 POWDER BLUE        
03-4091SLT,TRAIL XR S/O 14 2025 NICKEL            T
03-4091SLT,TRAIL XR S/O 14 2025 NICKEL            T
03-4092BL ,TRAIL XR S/O 14 2025 POWDER BLUE       T
03-4093SL ,TRAIL XR S/O 18 2025 NICKEL             
03-4094BL ,TRAIL XR S/O 18 2025 POWDER BLUE        
03-4135GD ,XENITH T1 XS 2009 GOLDEN GATE/CARBON    
03-4135WH ,XENITH T1 XS 2009 PEARL WHITE/CARBON    
03-4140BK ,TRILOGY 47 2009 GLOSS BLACK             
03-4153BR ,RENEGADE S2 58 2025 COPPER TONE         
03-4158GN ,KROMO S 2025 MASH                       
03-4159BL ,KROMO S 2025 MIDNIGHT                   
03-4160GN ,KROMO L 2025 MASH                       
03-4161BL ,KROMO L 2025 MIDNIGHT                   
03-4199GN ,RENEGADE C2 RIVAL AXS 56 2025 MOSS      
03-4200GN ,RENEGADE C2 RIVAL AXS 58 2025 MOSS      
03-4201GN ,RENEGADE C2 RIVAL AXS 61 2025 MOSS      
03-4203BR ,RENEGADE C3 GRX 51 2025 COPPER TONE     
03-4207BR ,RENEGADE C3 GRX 61 2025 COPPER TONE     
03-4208GY ,RENEGADE C4 APEX AXS 48 2025 THNDER GREY
03-4209GY ,RENEGADE C4 APEX AXS 51 2025 THNDER GREY
03-4211GY ,RENEGADE C4 APEX AXS 56 2025 THNDER GREY
03-4212GY ,RENEGADE C4 APEX AXS 58 2025 THNDER GREY
03-4213GY ,RENEGADE C4 APEX AXS 61 2025 THNDER GREY
03-4214BR ,RENEGADE S2 APEX 48 2025 COPPER TONE    
03-4227BL ,RENEGADE C1 RED AXS 51 2025 PRISM       
03-4228BL ,RENEGADE C1 RED AXS 54 2025 PRISM       
03-4229BL ,RENEGADE C1 RED AXS 56 2025 PRISM       
03-4230BL ,RENEGADE C1 RED AXS 58 2025 PRISM       
03-4231BL ,RENEGADE C1 RED AXS 61 2025 PRISM       
03-4237GY ,FAULTLINE A2 17 2025 FLINTSTONE         
03-4239GY ,FAULTLINE A2 21 2025 FLINTSTONE         
03-4240GY ,VENTURA A1 48 2025 KINETIC GREY         
03-4241GY ,VENTURA A1 51 2025 KINETIC GREY         
03-4246GY ,VENTURA A1 L44 2025 DAKOTA GREY         
03-4247GY ,VENTURA A1 L48 2025 DAKOTA GREY         
03-4248GY ,VENTURA A1 L51 2025 DAKOTA GREY         
03-4249GY ,VENTURA A1 L54 2025 DAKOTA GREY         
03-4250BK ,VENTURA A2 48 2025 MATTE BLACK          
03-4251BK ,VENTURA A2 51 2025 MATTE BLACK          
03-4252BK ,VENTURA A2 54 2025 MATTE BLACK          
03-4253BK ,VENTURA A2 56 2025 MATTE BLACK          
03-4254BK ,VENTURA A2 58 2025 MATTE BLACK          
03-4257BL ,VENTURA A2 L48 2025 LOTUS BLUE          
03-4258BL ,VENTURA A2 L51 2025 LOTUS BLUE          
03-4259BL ,VENTURA A2 L54 2025 LOTUS BLUE          
03-4260BR ,RENEGADE S4 LTD 48 2025 SANDSTONE       
03-4261BR ,RENEGADE S4 LTD 51 2025 SANDSTONE       
03-4263BR ,RENEGADE S4 LTD 56 2025 SANDSTONE       
03-4264BR ,RENEGADE S4 LTD 58 2025 SANDSTONE       
03-4265BR ,RENEGADE S4 LTD 61 2025 SANDSTONE       
03-4266BK ,RENEGADE A1 LTD 48 2025 BLACK PEARL     
03-4267GN ,RENEGADE A1 LTD 48 2025 MASH            
03-4268BK ,RENEGADE A1 LTD 51 2025 BLACK PEARL     
03-4269GN ,RENEGADE A1 LTD 51 2025 MASH            
03-4270BK ,RENEGADE A1 LTD 54 2025 BLACK PEARL     
03-4271GN ,RENEGADE A1 LTD 54 2025 MASH            
03-4272BK ,RENEGADE A1 LTD 56 2025 BLACK PEARL     
03-4273GN ,RENEGADE A1 LTD 56 2025 MASH            
03-4273GN ,RENEGADE A1 LTD 56 2025 MASH            
03-4274BK ,RENEGADE A1 LTD 58 2025 BLACK PEARL     
03-4275GN ,RENEGADE A1 LTD 58 2025 MASH            
03-4276BK ,RENEGADE A1 LTD 61 2025 BLACK PEARL     
03-4277GN ,RENEGADE A1 LTD 61 2025 MASH            
03-4369BL ,HIGHPOINT A1 15 2025 INK                
03-4370BL ,HIGHPOINT A1 17 2025 INK                
03-4371BL ,HIGHPOINT A1 19 2025 INK                
03-4372BL ,HIGHPOINT A1 21 2025 INK                
03-4374GN ,HIGHPOINT A2 17 2025 COMMANDO           
03-4375GN ,HIGHPOINT A2 19 2025 COMMANDO           
03-4376GN ,HIGHPOINT A2 21 2025 COMMANDO           
03-4448BK ,RENEGADE C1 RED AXS 13S 56 2025 GLOSS BK
03-4449BK ,RENEGADE C1 RED AXS 13S 58 2025 GLOSS BK
03-4450BK ,RENEGADE C1 RED AXS 13S 61 2025 GLOSS BK
03-4454BL ,RENEGADE C2 GRX 56 2025 WINTER DUSK     
03-4455BL ,RENEGADE C2 GRX 58 2025 WINTER DUSK     
03-4456BL ,RENEGADE C2 GRX 61 2025 WINTER DUSK     
03-4457GN ,RENEGADE C3 APEX EAGLE AXS 48 2025 PINE 
03-4458GN ,RENEGADE C3 APEX EAGLE AXS 51 2025 PINE 
03-4460GN ,RENEGADE C3 APEX EAGLE AXS 56 2025 PINE 
03-4461GN ,RENEGADE C3 APEX EAGLE AXS 58 2025 PINE 
03-4462GN ,RENEGADE C3 APEX EAGLE AXS 61 2025 PINE 
03-4463BR ,RENEGADE C4 GRX 48 2025 SANDSTONE       
03-4464BR ,RENEGADE C4 GRX 51 2025 SANDSTONE       
03-4465BR ,RENEGADE C4 GRX 54 2025 SANDSTONE       
03-4466BR ,RENEGADE C4 GRX 56 2025 SANDSTONE       
03-4467BR ,RENEGADE C4 GRX 58 2025 SANDSTONE       
03-4468BR ,RENEGADE C4 GRX 61 2025 SANDSTONE       
03-4511GY ,DXT A2 15 2025 DARK SHADOW              
03-4512GY ,DXT A2 17 2025 DARK SHADOW              
03-4513GY ,DXT A2 19 2025 DARK SHADOW              
03-4514GY ,DXT A2 21 2025 DARK SHADOW              
03-4515GY ,DXT A2 23 2025 DARK SHADOW              
03-4516BL ,DXT A2 S/O 14 2025 FROST                
03-4517BL ,DXT A2 S/O 18 2025 FROST                
03-4527GY ,ALLEGRO A1 15 2025 THUNDER GREY         
03-4528GY ,ALLEGRO A1 17 2025 THUNDER GREY         
03-4529GY ,ALLEGRO A1 19 2025 THUNDER GREY         
03-4530GY ,ALLEGRO A1 21 2025 THUNDER GREY         
03-4531BK ,FRAME DAKAR XCR SPORT BLACK 15 2017 WRTY
03-4531GY ,ALLEGRO A1 23 2025 THUNDER GREY         
03-4532BL ,ALLEGRO A1 L14 2025 SLATE               
03-4533BL ,ALLEGRO A1 L16 2025 SLATE               
03-4534BL ,ALLEGRO A1 L18 2025 SLATE               
03-4535GY ,ALLEGRO A2 15 2025 FLINT                
03-4536BL ,ALLEGRO A2 15 2025 GALAXY BLUE          
03-4537GY ,ALLEGRO A2 17 2025 FLINT                
03-4538BL ,ALLEGRO A2 17 2025 GALAXY BLUE          
03-4539GY ,ALLEGRO A2 19 2025 FLINT                
03-4540BL ,ALLEGRO A2 19 2025 GALAXY BLUE          
03-4541GY ,ALLEGRO A2 21 2025 FLINT                
03-4542BL ,ALLEGRO A2 21 2025 GALAXY BLUE          
03-4543GY ,ALLEGRO A2 23 2025 FLINT                
03-4544BL ,ALLEGRO A2 23 2025 GALAXY BLUE          
03-4545MN ,ALLEGRO A2 L14 2025 VANILLA MINT        
03-4546MN ,ALLEGRO A2 L16 2025 VANILLA MINT        
03-4547MN ,ALLEGRO A2 L18 2025 VANILLA MINT        
03-4606BL ,DEFCON E1 15 2026 GALACTIC              
03-4607BL ,DEFCON E1 17 2026 GALACTIC              
03-4608BL ,DEFCON E1 19 2026 GALACTIC              
03-4609BL ,DEFCON E1 21 2026 GALACTIC              
03-4610BK ,DEFCON E2 15 2026 BLACK COAL            
03-4611BK ,DEFCON E2 17 2026 BLACK COAL            
03-4612BK ,DEFCON E2 19 2026 BLACK COAL            
03-4613BK ,DEFCON E2 21 2026 BLACK COAL            
03-4614BK ,FAULTLINE A1 V2 15 2026 GLOSS BLACK     
03-4615BK ,FAULTLINE A1 V2 17 2026 GLOSS BLACK     
03-4616BK ,FAULTLINE A1 V2 19 2026 GLOSS BLACK     
03-4617BK ,FAULTLINE A1 V2 21 2026 GLOSS BLACK     
03-4618GN ,FAULTLINE A2 V2 15 2026 OLIVE DRAB      
03-4619GN ,FAULTLINE A2 V2 17 2026 OLIVE DRAB      
03-4620GN ,FAULTLINE A2 V2 19 2026 OLIVE DRAB      
03-4621GN ,FAULTLINE A2 V2 21 2026 OLIVE DRAB      
03-4622BL ,FAULTLINE A3 V2 15 2026 WINTER DUSK     
03-4623BL ,FAULTLINE A3 V2 17 2026 WINTER DUSK     
03-4624BL ,FAULTLINE A3 V2 19 2026 WINTER DUSK     
03-4625BL ,FAULTLINE A3 V2 21 2026 WINTER DUSK     
03-4626BR ,HIGHPOINT A1 V2 15 2026 PUTTY           
03-4627BR ,HIGHPOINT A1 V2 17 2026 PUTTY           
03-4628BR ,HIGHPOINT A1 V2 19 2026 PUTTY           
03-4629BR ,HIGHPOINT A1 V2 21 2026 PUTTY           
03-4630GY ,HIGHPOINT A2 V2 15 2026 GRAPHITE        
03-4631GY ,HIGHPOINT A2 V2 17 2026 GRAPHITE        
03-4632GY ,HIGHPOINT A2 V2 19 2026 GRAPHITE        
03-4633GY ,HIGHPOINT A2 V2 21 2026 GRAPHITE        
03-4754BL ,XENITH T1 XS 2010 VICTORY BL/PEARL WH   
03-4759CB ,XENITH T XS 2010 CARBON/PEARL WHITE     
03-4798CL ,FRAME RENEGADE S1 61 2024 CHARCOAL      
03-4889GY ,HUDSON S/T 14 2026 GREY MIST            
03-4890BL ,HUDSON S/T 14 2026 SUGAR BLUE           
03-4979BL ,VENTURA A1 CUES 2X10 48 2026 CERULEAN   
03-4980BL ,VENTURA A1 CUES 2X10 51 2026 CERULEAN   
03-4981BL ,VENTURA A1 CUES 2X10 54 2026 CERULEAN   
03-4982BL ,VENTURA A1 CUES 2X10 56 2026 CERULEAN   
03-4983BL ,VENTURA A1 CUES 2X10 58 2026 CERULEAN   
03-4984BL ,VENTURA A1 CUES 2X10 61 2026 CERULEAN   
03-5443BL ,XENITH T1 XS 2011 VICTORY BLUE/PRL WHITE
03-5448CH ,XENITH T XS 2011 CHROMIUM/NTRL CARBON   
03-6218RD ,XENITH T1 XS 2012 VICTORY RED/PEARL WH  
03-9030TE ,QUEST SPORT 54CM 2015 GLOSS BLACK    S/D
03-9062PD ,BOSA NOVA 58 2015 ANO PALLADIUM         
05-1121GN ,NV BEACH MENS CB 1SP ARMED & READY      
05-1135GN ,NV B7 7SP ARMED & READY                 
05-1136RD ,NV B7 7SP PAINT IT RED                  
05-1142BK ,NV RED STAR FREEWHEEL 1SP MATTE BLK     
05-1169BK ,NV BELMONT MENS 1SP 61 DARTH BLK        
05-1170OR ,NV BELMONT MENS 1SP 61 BONFIRE       S/D
05-3421   ,NV RED STAR MENS 1SP MATTE BLK          
05-3521BK ,NV SKULLS 3SP MATTE BLK                 
05-3847   ,"NV STARLINER MENS 21 7SPD NAVY BLUE    """
05-3849   ,"NV STARLINER MENS 17 7SP GLOSS BLK     """
05-3851BL ,"NV STARLINER MENS 17 7SP TOPAZ BLUE    """
05-9645   ,NV B-1 ISLAND FLOWER LADY 1SP GLOSS BLK 
06-585361,"S/D TAXI 16 GLOSS BLACK                """
06-4284TL ,"TAXI 16 BAMBOO BEACH TEAL              """
06-4293MG ,TAXI 10X20 2022 MANGO MARRIOTT VACATION 
06-4294MVC,"TAXI 24 2025 GLOSS BLACK MARRIOTT      """
06-4296RD ,TAXI 10X20 2022 RED/SILVER PALMETTO     
06-4296RD ,TAXI 10X20 2022 RED/SILVER PALMETTO     
06-4297RD ,"TAXI 24 L15 2023 RED/SILVER PALMETTO   """
06-4298RD ,"TAXI 26 L18 2025 RED/SILVER PALMETTO   """
06-4427RB ,BC7 S/O 14 2024 RASPBERRY              T
06-4427RB ,BC7 S/O 14 2024 RASPBERRY              T
06-4430RB ,BC7 S/O 18 2024 RASPBERRY              T
06-4430RB ,BC7 S/O 18 2024 RASPBERRY              T
06-4432BK ,BC7 17 2025 GLOSS BLACK                T
06-4432BK ,BC7 17 2025 GLOSS BLACK                T
06-4432BKT,BC7 17 2025 GLOSS BLACK                T
06-4435BK ,BC7 19 2024 GLOSS BLACK                T
06-4435BK ,BC7 19 2024 GLOSS BLACK                T
06-4435BKT,BC7 19 2025 GLOSS BLACK                T
06-4438BKT,BC7 21 2025 GLOSS BLACK                T
06-4444BL ,BCCB S/O 14 2025 OCEAN MIST             
06-4445WH ,BCCB S/O 14 2025 PURE WHITE             
06-4450BL ,BCCB 17 2025 COSMO BLUE                 
06-4451BK ,BCCB 17 2025 GLOSS BLACK                
06-4451BK ,BCCB 17 2025 GLOSS BLACK                
06-4452SL ,BCCB 17 2025 SILVER MIST                
06-4453BL ,BCCB 19 2025 COSMO BLUE                 
06-4453BL ,BCCB 19 2025 COSMO BLUE                 
06-4453BLT,BCCB 19 2025 COSMO BLUE                T
06-4454BK ,BCCB 19 2025 GLOSS BLACK                
06-4454BKT,BCCB 19 2025 GLOSS BLACK               T
06-4455SL ,BCCB 19 2025 SILVER MIST                
06-4455SL ,BCCB 19 2025 SILVER MIST                
06-4456BL ,BCCB 21 2025 COSMO BLUE                 
06-4457BK ,BCCB 21 2024 GLOSS BLACK                
06-4457BKT,BCCB 21 2025 GLOSS BLACK               T
06-4457RD ,"TAXI 26 S/O L18 2021 SUNSET RED OAR    """
06-4458SL ,BCCB 21 2024 SILVER MIST                
06-4458SL ,BCCB 21 2024 SILVER MIST                
06-4458SLT,BCCB 21 2025 SILVER MIST               T
06-4461SL ,BCCB 23 2024 SILVER MIST                
06-4464BL ,EC3 S/T 15 2025 SKY BLUE                
06-4470TL ,EC3 18 2025 TEAL FO REAL                
06-4470TL ,EC3 18 2025 TEAL FO REAL                
06-4470TLT,EC3 18 2025 TEAL FO' REAL              T
06-4473TL ,EC3 21 2025 TEAL FO REAL                
06-4473TLT,EC3 21 2025 TEAL FO' REAL              T
06-4475BL ,EC1 S/T 15 2025 OCEAN MIST              
06-4482BL ,EC1 18 2025 RADIANT BLUE                
06-4482BLT,EC1 18 2025 RADIANT BLUE               T
06-4485BL ,EC1 21 2025 RADIANT BLUE                
06-4485BL ,EC1 21 2025 RADIANT BLUE                
06-4485BLT,EC1 21 2025 RADIANT BLUE               T
06-4490WH ,EC2 S/T 17 2025 PURE WHITE              
06-4497BL ,EC2 21 2025 GALAXY BLUE                 
06-4507BK ,"TAXI 24 2025 GLOSS BLACK               """
06-4515BK ,"TAXI 26 17 2025 GLOSS BLACK            """
06-4516KW ,"TAXI 26 17 2025 KIWI                   """
06-4519BK ,"TAXI 26 19 2025 GLOSS BLACK            """
06-4523BK ,"TAXI 26 21 2025 GLOSS BLACK            """
06-4524KW ,"TAXI 26 21 2025 KIWI                   """
06-4560MN ,BC7 S/O 14 2024 VANILLA MINT            
06-4560MN ,BC7 S/O 14 2024 VANILLA MINT            
06-4560MNT,BC7 S/O 14 2024 VANILLA MINT           T
06-4562BL ,BC7 17 2025 BLUEBERRY                   
06-4562BL ,BC7 17 2025 BLUEBERRY                   
06-4562BLT,BC7 17 2025 BLUEBERRY                  T
06-4562BLT,BC7 17 2025 BLUEBERRY                  T
06-4563BLT,BC7 19 2025 BLUEBERRY                  T
06-4564BL ,BC7 21 2024 BLUEBERRY                  T
06-4564BL ,BC7 21 2024 BLUEBERRY                  T
06-4565BL ,BC7 23 2025 BLUEBERRY                  T
06-4566VL ,BCCB S/O 14 2025 VIVID VIOLET           
06-4566VL ,BCCB S/O 14 2025 VIVID VIOLET           
06-4566VL ,BCCB S/O 14 2025 VIVID VIOLET           
06-4568BK ,EC3 S/T 15 2025 GLOSS BLACK             
06-4572GY ,EC1 18 2025 KINETIC GREY                
06-4572GY ,EC1 18 2025 KINETIC GREY                
06-4572GY ,EC1 18 2025 KINETIC GREY                
06-4572GYT,EC1 18 2025 KINETIC GREY               T
06-4573GY ,EC1 21 2025 KINETIC GREY                
06-4573GY ,EC1 21 2025 KINETIC GREY                
06-4573GY ,EC1 21 2025 KINETIC GREY                
06-4573GYT,EC1 21 2025 KINETIC GREY               T
06-4582BL ,"TAXI 24 2025 COSMO BLUE                """
06-4584BL ,"TAXI 26 S/O 18 2025 COSMO BLUE         """
06-4586BL ,"TAXI 26 17 2025 COSMO BLUE             """
06-4587RD ,"TAXI 26 17 2025 MONTEREY RED           """
06-4588BL ,"TAXI 26 19 2025 COSMO BLUE             """
06-4590BL ,"TAXI 26 21 2025 COSMO BLUE             """
06-4597YL ,"TAXI 26 L18 2020 YLW/RED/GREEN FRST BCH"""
06-4602BL ,BC7 S/O 14 2024 BLUE LAGOON            T
06-4604OR ,BC7 17 2024 AMBER WAVE                 T
06-4604ORT,BC7 17 2025 AMBER WAVE                 T
06-4605OR ,BC7 19 2025 AMBER WAVE                 T
06-4605OR ,BC7 19 2025 AMBER WAVE                 T
06-4605ORT,BC7 19 2025 AMBER WAVE                 T
06-4606OR ,BC7 21 2025 AMBER WAVE                 T
06-4606OR ,BC7 21 2025 AMBER WAVE                 T
06-4606ORT,BC7 21 2025 AMBER WAVE                 T
06-4607OR ,BC7 23 2025 AMBER WAVE                 T
06-4607OR ,BC7 23 2025 AMBER WAVE                 T
06-4607ORT,BC7 23 2025 AMBER WAVE                 T
06-4608MN ,EC3 S/T 15 2025 VANILLA MINT            
06-4611GN ,EC3 21 2025 NINJA GREEN                 
06-4612PK ,EC1 S/T 15 2025 CORAL                   
06-4614GN ,EC1 18 2022 MASH                        
06-4615GN ,EC1 21 2022 MASH                        
06-4616RD ,EC2 18 2025 BLOOD RED                   
06-4616RD ,EC2 18 2025 BLOOD RED                   
06-4617RD ,EC2 21 2025 BLOOD RED                   
06-4617RD ,EC2 21 2025 BLOOD RED                   
06-4620BL ,"TAXI 26 L18 2022 COSMO BLUE - BEACHWALK"""
06-4627LDV,"TAXI 26 S/O 18 2024 CAROLINA BLUE LDV  """
06-4635OR ,EC3 18 2025 CLAY                        
06-4636BK ,EC3 18 2025 GLOSS BLACK                 
06-4637OR ,EC3 21 2025 CLAY                        
06-4637ORT,EC3 21 2025 CLAY                       T
06-4638BK ,EC3 21 2025 GLOSS BLACK                 
06-4638BKT,EC3 21 2025 GLOSS BLACK                T
06-4639GN ,EC1 18 2025 MASH                        
06-4639GNT,EC1 18 2025 MASH                       T
06-4640GN ,EC1 21 2025 MASH                        
06-4641BK ,EC2 18 2025 GLOSS BLACK                 
06-4641BK ,EC2 18 2025 GLOSS BLACK                 
06-4652BK ,TAXI TRIKE 2025GLOSS BLACK              
06-4652BK ,TAXI TRIKE 2025GLOSS BLACK              
06-4652BK ,TAXI TRIKE 2025GLOSS BLACK              
06-4653BL ,TAXI TRIKE 2025 MIDNIGHT BLUE           
06-4653BL ,TAXI TRIKE 2025 MIDNIGHT BLUE           
06-4654PU ,TAXI TRIKE 2025 ORCHARD                 
06-4654PU ,TAXI TRIKE 2025 ORCHARD                 
06-4654PU ,TAXI TRIKE 2025 ORCHARD                 
06-4655YL ,TAXI TRIKE 2025 YELLOW CAB              
06-4655YL ,TAXI TRIKE 2025 YELLOW CAB              
07-3626BL ,JUV LASER 2.0 2025 COSMO BLUE           
07-3629RD ,JUV LASER 1.6 2025 VICTORY RED          
07-3639GR ,JUV CRITTER 12 2025 NINJA GREEN         
07-3641RD ,JUV CRITTER 12 2025 VICTORY RED         
07-3642VL ,JUV CRITTER 12 2025 VIVID VIOLET        
07-3663BL ,JUV STARLITE 2025 BLUE LAGOON           
07-3663BL ,JUV STARLITE 2025 BLUE LAGOON           
07-3664PK ,JUV MISS DAISY 2025 HOT PINK            
07-3664PK ,JUV MISS DAISY 2025 HOT PINK            
07-3671SG ,JUV XR.26 S/O 12 2025 SAGE              
07-3671SG ,JUV XR.26 S/O 12 2025 SAGE              
07-3672SG ,JUV XR.26 S/O 14 2025 SAGE              
07-3673BK ,JUV XR.26 13 2025 GLOSS BLACK           
07-3674GY ,JUV XR.26 13 2024 SMOKE                 
07-3674GY ,JUV XR.26 13 2024 SMOKE                 
07-3684BL ,JUV XR.24 2025 SKY BLUE                 
07-3689WH ,JUV CAPRI 2.4 2024 VANILLA              
07-3690BL ,JUV CAPRI 2.4 2025 SKY BLUE             
07-3692BL ,JUV LASER 1.6 2025 DEEP BLUE            
07-3697BK ,JUV XR.20 2025 GLOSS BLACK *SUSPENSION  
07-3698GN ,JUV XR.20 2025 LIMELIGHT *SUSPENSION    
